"id_producto","nombre","marca","categoria","img","kcal","grasas","grasas_saturadas","proteinas","hidratos_carbono","azucares","sal","visitas"
"20372","Loción corporal infantil hidratante Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/20372.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20428","Papilla pera y manzana +4 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/20428.webp","55.00","0.50","0.00","0.70","11.00","11.00","0.01","0"
"20455","Pañal junior braguita noche infantil Deliplus de 17-30 kg","Deliplus","panales","https://dx7csy7aghu7b.cloudfront.net/prods/20455.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20620","Gel - champú bebé para pieles atópicas Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/20620.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20718","Pañal bebé braguita talla L de 12-18 kg Deliplus","Deliplus","panales","https://dx7csy7aghu7b.cloudfront.net/prods/20718.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20808","Chupete silicona reversible +6 a 18 meses Deliplus luminiscente","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/20808.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20833","Chupete silicona reversible +0 a 6 meses Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/21753.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20846","Biberón 360 ml tetina silicona tres posiciones +1 mes Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/20846.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20924","Limpiador bebé para biberones y tetinas Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/20924.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"20998","Champú infantil Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/20998.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21164","Solución fisiológica salina 0 9 % Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/21164.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21225","Pañal junior braguita noche infantil Deliplus de 27-57 kg","Deliplus","panales","https://dx7csy7aghu7b.cloudfront.net/prods/21225.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21393","Preparado lácteo con cereales crecimiento Hacendado +1 año","Hacendado","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/21393.webp","82.00","3.00","0.00","2.30","11.40","6.20","0.13","0"
"21424","Tetina silicona papillas espesas +4 meses Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/21424.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21448","Aspirador nasal anatómico +0 meses Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/21448.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21456","Papilla 8 cereales Hero baby +6 meses","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/21456.webp","379.00","2.20","0.00","12.00","75.00","1.00","0.00","0"
"21458","Papilla 8 cereales con galleta Hero baby +6 meses","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/21458.webp","379.00","2.30","0.00","12.00","75.00","1.00","0.03","0"
"21542","Preparado lácteo crecimiento +1 año Hacendado","Hacendado","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/21542.webp","65.00","2.90","0.00","2.20","7.50","4.70","0.13","0"
"21680","Tetina silicona tres posiciones +1 mes Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/21680.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"21859","Recambios recarga aspirador nasal anatómico Deliplus","Deliplus","higiene-bebe","https://dx7csy7aghu7b.cloudfront.net/prods/21859.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"22046","Biberón 150 ml tetina silicona flujo lento +0 meses Deliplus","Deliplus","puericultura","https://dx7csy7aghu7b.cloudfront.net/prods/22046.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"22118","Papilla zanahorias con arroz en caldito de pollo Hero baby +6 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22118.webp","59.00","1.80","0.00","1.90","8.40","2.00","0.05","0"
"22119","Papilla zanahorias baby con ternera Hero baby +6 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22119.webp","63.00","2.40","0.00","2.60","7.50","0.70","0.07","0"
"22123","Papilla verduritas con delicias de pavo Hero baby natur +6 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22123.webp","68.00","2.60","0.00","3.00","8.00","0.70","0.07","0"
"22162","Papilla crema de bechamel con lenguado Hero baby +8 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22162.webp","65.00","2.50","0.00","2.80","7.60","1.50","0.10","0"
"22211","Papilla hervido de verduritas de la huerta Hero baby +4 meses","Hero Baby","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22211.webp","54.00","2.00","0.00","1.30","7.00","1.50","0.00","0"
"22479","Papilla fruta variada +4 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22479.webp","85.00","0.00","0.00","0.90","21.00","17.00","0.00","0"
"22498","Papilla cuatro frutas con avena +8 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/22498.webp","79.00","0.50","0.00","1.10","17.00","12.00","0.01","0"
"23024","Papilla plátano fresa arándanos y avena +8 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/23024.webp","75.00","0.50","0.00","1.00","16.00","13.00","0.01","0"
"23042","Toallitas infantiles cara y manos Deliplus","Deliplus","toallitas","https://dx7csy7aghu7b.cloudfront.net/prods/23042.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"23422","Preparado lácteo crecimiento Peques 3 Puleva","Peques 3","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/23422.webp","58.00","3.10","0.00","1.70","5.70","2.60","0.11","0"
"23567","Papilla plátano mandarina y pera +4 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/23567.webp","58.00","0.50","0.00","0.80","13.00","10.00","0.00","0"
"23574","Papilla fresa y plátano +8 meses Hacendado","Hacendado","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/23574.webp","71.00","0.20","0.00","0.80","16.00","15.00","0.01","0"
"23952","Toallitas bebé pieles con tendencia atópica Deliplus","Deliplus","toallitas","https://dx7csy7aghu7b.cloudfront.net/prods/23952.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"23976","Pañal bebé braguita talla XL de 16-28 kg Deliplus","Deliplus","panales","https://dx7csy7aghu7b.cloudfront.net/prods/23976.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1"
"24807","Galletitas Animales Solo Cereales 100% Eco-Bío","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/24807.webp","439.00","14.00","0.00","7.60","69.00","19.00","0.43","0"
"28578","Pañal DryNites 4 a 7 Años Niño","Huggies","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28578.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28584","Tarrito 4 Frutas Mi Menú con Galleta","Be Plus","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/28584.webp","75.00","0.50","0.00","0.90","16.00","12.00","0.03","0"
"28589","Pañal Braguita Talla 6 de 16 a 25 Kilos","Consum Kids","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28589.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28593","Tarrito Merienda Galleta Fruta Variada Pack 2","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/28593.webp","78.00","0.50","0.00","1.00","17.00","13.00","0.02","0"
"28596","Pañal Sensitive Talla 1 De 2 Kg a 5 Kg","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28596.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28601","Pañal Pants T 5 12-18 Kilos","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28601.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28602","Pañal Bebé Activity T 4 9-14 Kilos","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28602.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28603","Pañal Bebé Activity T 5 11-16 Kilos","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28603.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28610","Pañal Drynites 8 a 15 Años Niño","Huggies","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28610.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28615","Pouche Manzana Fresa Platano Arandano Solo","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/28615.webp","57.00","0.20","0.00","0.50","12.50","11.00","0.00","0"
"28633","Drynites niña 10 unidades (3-5 años, 16-23 kg)","Drynites","panales","https://dx7csy7aghu7b.cloudfront.net/prods/114112.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28634","Pañal DryNites 8 a 15 Años Niña","Huggies","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28634.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28647","Pañal Pants T 4 9-15 Kilos","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28647.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28648","Pañal Pants T 6 16-22 Kilos","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28648.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28649","Pañal Braguita Talla 5 de 13 a 20 Kilos","Consum Kids","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28649.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28654","Pañal Pant T 7 +17 Kg","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28654.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"28658","Papilla 8 cereales con cacao HERO, caja 340 g","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/28658.webp","376.00","2.10","0.00","12.00","74.00","1.00","0.04","0"
"28670","Tarrito Manzana, Pera, Melocotón y Plátano","Be Plus","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/28670.webp","53.00","0.00","0.00","0.40","12.00","11.00","0.00","0"
"28693","Ropa Interior Noches Tranquilas 4-7 Años","Consum Kids","panales","https://dx7csy7aghu7b.cloudfront.net/prods/28693.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
